Short-data encryption tester v.1.04 22.06.2023 12:15
Huffman binary tree prepared, no of elements = 1403, root = 1402
Absolute: min. level=9, max. level=18, av. level=10
Weighted: min. level=4.50, max. level=18.00, av. level=5.56 compression=70%
All-zero element: 826 '@8' of level 9 and weight=5
Processing items...
No of items = 25000, digits before decimal point = -10, digits after decimal point = -7
No; String; Length[B]; String_noised; Length[B]; String_encoded_bin; String_encoded_hex; Length[B]; Add_noise_time[us]; Encryption_time[us]; Decryption_time[us]; Remove_noise_time[us]; Total_time[us]
74; 444656557.64092; 15; )44465&655@7.=6&4092; 20; 101101101100011101111011011110011100011010100101100110000011000010110100111101000011010001001010; 6B7CB7976C5A89034B4F43A4; 12; 13; 1160; 1184; 9; 2366
75; 4.591573; 8; %4(.591573; 10; 011110101001111111110101111101110011010010001110; A7F95F7F43E8; 6; 5; 554; 566; 5; 1130
76; 171932.87654; 12; )!1!71!932.87654; 16; 11101100100111100101001101011000000100101110010100011001011010111101111010100110; CEE93585215E91B6ED6A; 10; 10; 586; 602; 8; 1206
77; 5367107.1675; 12; %5(3#)67107.1675; 16; 01011010001000000110010000101011010111110001110000010010100111011011011010000000; A50246B2F5C121D96B08; 10; 10; 810; 843; 8; 1671
78; 3.239; 5; @3.239; 6; 11011110110101001100111011100000; ED4DEC0E; 4; 3; 292; 304; 4; 603
79; 57.44; 5; &57.44; 6; 11000100000000100001110111000000; 4C20D10C; 4; 3; 360; 373; 3; 739
80; 357875.100004; 13; %357%875.)1000)04; 17; 100111010011011111111110010110100101101101000111010011100011100111011010010110001111010100000000; D973EFA5B574E493AD855F00; 12; 10; 783; 825; 9; 1627
81; 488; 3; *488; 4; 100101001001010111010000; 49590D; 3; 2; 85; 93; 2; 182
82; 61578432.902; 12; @61578432*.!90)2; 16; 11001111111100110111101100000110000011001101010001000110010001111111110110000000; FC3FB760C04D6474DF08; 10; 10; 993; 1029; 8; 2040
83; 5; 1; ~5; 2; 0100011100000000; 7400; 2; 2; 54; 62; 2; 120
84; 6.5; 3; (6.5; 4; 101011101011011100100000; EA7B02; 3; 2; 179; 188; 2; 371
85; 7516001.8390; 12; $7#51@6001*.8390; 16; 01110101011011000001000001011011111111010000101100111110100011110010001001000111; 57C601B5DFB0E3F82274; 10; 10; 558; 574; 8; 1150
86; 7110207.9; 9; ~711^020^7.9; 12; 1001100111001000011011110100011111101110111111100001100010000000; 998CF674EEEF8108; 8; 7; 437; 467; 6; 917
87; 872; 3; *872; 4; 001001010011110010010000; 52C309; 3; 2; 75; 84; 3; 164
88; 185.852385; 10; $1!85.85&2385; 13; 001111110000101011100100100100001010010111100011100101001111001001000000; F3A04E095A3E492F04; 9; 7; 594; 621; 7; 1229
89; 864.280; 7; $864.2)80; 9; 010010001100001110110101001100110101000100110000; 843C5B331503; 6; 5; 469; 481; 5; 960
90; 4.949348; 8; (*4.949348; 10; 10101010001011010101001010011110100111100001000010000000; AAD225E9E90108; 7; 4; 477; 501; 5; 987
91; 477.50702; 9; _*477.5@0702; 12; 11001111000111001100000100110000001011101101101101110100; FCC11C03E2BD47; 7; 6; 778; 794; 6; 1584
92; 2.011071; 8; ^2.0*11071; 10; 00011101110000010100100101000011110001110100110101000000; D11C94347CD404; 7; 4; 275; 297; 5; 581
93; 841154.4171; 11; %841154.4_17$1; 14; 100101101000111001010111100110101101010100110101011100100011000111111000; 69E875A95D5327138F; 9; 7; 748; 767; 7; 1529
94; 7.412297; 8; &^7.412297; 10; 101100110000000010001110010101111101101110111010; 3B00E875BDAB; 6; 5; 558; 568; 5; 1136
95; 304.4872; 8; _304&.4872; 10; 01011100111011111000011111010100010000101111001001000000; C5FE784D242F04; 7; 5; 414; 436; 5; 860
96; 8.67; 4; (8.67; 5; 0001000000001011110100100000000000000000; 01B02D0000; 5; 2; 221; 235; 3; 461
97; 250406217.392265; 16; %250406@21$7._3922^65; 21; 1011101100110001100101000011010111011111010011110111010101101001010011101110111101101100111010001100100100000000; BB134953FDF45796E4FEC68E9C00; 14; 14; 1172; 1223; 10; 2419
98; 4583641.7630; 12; *4583)6%41.7!630; 16; 10010100100010101110001110001001110110111001010101000010110111001111001001011000; 49A83E98BD5924CD2F85; 10; 9; 663; 688; 9; 1369
99; 34; 2; #34; 3; 100011100011110101000000; E8D304; 3; 2; 136; 146; 2; 286
100; 61.746; 6; *_61.746; 8; 1101001101010111111010000101010011101000; 3D758E458E; 5; 5; 384; 396; 4; 789
101; 729878.03937; 12; @729878^~.0393$7; 16; 10011000000011010110111001001110110100010010011011111010010011110011101010100000; 89D0E6E41D62AFF4A30A; 10; 9; 785; 815; 8; 1617
102; 613323.0; 8; *613323_.0; 10; 11001010011010010001110010100011001100100000101000000000; AC96C13A23A000; 7; 5; 381; 405; 6; 797
103; 6385.4; 6; (6385~.4; 8; 1010111010010100111101111101100011111000; EA497F8D8F; 5; 5; 440; 453; 5; 903
104; 4.310; 5; ~4.310; 6; 10001110011000101101111000111000; E826ED83; 4; 3; 211; 221; 4; 439
105; 9674201; 7; )9674_201; 9; 101000100010110101101101010110111111011001010000; 2AD2D6B56F05; 6; 5; 522; 532; 5; 1064
106; 541.28; 6; =54^1.28; 8; 0101001110011100011011010110101111011110; 35C9D6B6ED; 5; 4; 494; 504; 5; 1007
107; 959729354.605; 13; *9597293)5(4.6^05; 17; 1000100001101011111001111001001010011110111110000011001011100010111101111010011001001000; 88B67E29E98F232E7F6A84; 11; 10; 715; 739; 8; 1472
108; 25657646.6857; 13; !256576=46%!.6857; 17; 100101100101010011101101111111110001001100100111011001110101000101111000101001010010000000000000; 6945DEFF31727615875A0200; 12; 10; 749; 772; 9; 1540
109; 41511; 5; %41511; 6; 01111010101110011011001000011000; A79B2B81; 4; 3; 340; 350; 4; 697
110; 610642024.933; 13; )61064202%=4.9)33; 17; 011010010011110001111000011101011111101101101111101010110101000011000101111101100110110001000000; 96C38757BFF6BA055C6FC604; 12; 10; 842; 881; 9; 1742
111; 561870.242; 10; !56$1870.24#2; 13; 100111000100101010101000011100101001010101001100110011100110110110000000; C9A48A2759C4ECD608; 9; 7; 571; 600; 7; 1185
112; 347633.7775; 11; (347^633.(7775; 14; 010000001001110011100111010001011101010010010000001001011011011010000000; 04C97E544D09526B08; 9; 7; 567; 596; 7; 1177
113; 819.94152; 9; @819.941*#52; 12; 0000000010001111010000110001011100101010010001001010000111100000; 00F83471A2441A0E; 8; 7; 535; 558; 6; 1106
114; 3.366; 5; #3.366; 6; 10001110001000101101100000011000; E8228D81; 4; 2; 205; 215; 3; 425
115; 144574.2093; 11; %1)4*4574.2093; 14; 100100010101101101101001010010101111111110110101010011111101101001111000; 19B596A4FF5BF4AD87; 9; 7; 661; 681; 8; 1357
116; 40.71; 5; ~40.71; 6; 10001110010101010110010011010100; E855464D; 4; 3; 196; 205; 4; 408
117; 100066435.0; 11; %100~0*66435.0; 14; 100100010001110110010011011111001010010000111010011011111000001010000000; 19D139C74AA3F62808; 9; 7; 543; 570; 7; 1127
118; 5.52109; 7; *5.^52109; 9; 01101111011011010101110100001111111000111100010101000000; F6D6D5F03E5C04; 7; 4; 315; 334; 5; 658
119; 11955030; 8; )11_955030; 10; 10000000010001101100101000101101100011001001001011000000; 0864ACD2C8290C; 7; 5; 455; 478; 6; 944
120; 9977; 4; !9977; 5; 1000000100111011101001001000000000000000; 18B34A0800; 5; 3; 126; 138; 3; 270
121; 6.7941; 6; !6*.7941; 8; 1011100111011111010000101100101110010101; 9BFD24BC59; 5; 4; 234; 242; 5; 485
122; 658558.27; 9; =&658~558.27; 12; 0100010001011011110101100011001010010100010101001101001010000000; 44B56D2349452D08; 8; 6; 646; 674; 6; 1332
123; 50.44197; 8; %50.4@4197; 10; 010110100010101011010111100001110010101110111010; A5A27D78B2AB; 6; 5; 585; 595; 5; 1190
124; 344673.5; 8; %344^673.5; 10; 10011101001001110111100111010000010001110110111001000000; D972970D74E604; 7; 4; 333; 355; 5; 697
125; 3925.750194; 11; @392*5@.750194; 14; 110111101100010010101101111010101000000101101101010000101100101001111000; ED4CDAAE18D624AC87; 9; 8; 517; 539; 7; 1071
126; 491748.01; 9; &%491)748.01; 12; 1100101110010100000101011011101111110100000101010100001011000000; BC4951BB4F51240C; 8; 7; 564; 588; 6; 1165
127; 8.23724; 7; )8.2372)4; 9; 011010100101010011001111110001010000011111101010; A645FC5C70AE; 6; 5; 498; 508; 5; 1016
128; 608.212759; 10; =608.2%1275$9; 13; 011100000010101011101010100110100100010011010010110010010101000101010000; 07A2AEA9442D9C1505; 9; 7; 628; 647; 7; 1289
129; 868.647; 7; %8@68.647; 9; 10010110100110011111000101010100001110101001000000000000; 69991F45A30900; 7; 4; 431; 442; 5; 882
130; 8.73536; 7; !8~.73536; 9; 000101011001001001001000111100010111000100100100; 5129841F1742; 6; 5; 322; 334; 5; 666
131; 792518.51183; 12; $7&9251#8.5!1183; 16; 01110101010111001101000010001101111011000010101010100011111001000011011110010000; 57C50DD8CEA23A4E7309; 10; 9; 781; 800; 8; 1598
132; 552.6; 5; ~552.6; 6; 01000111010100001111000101111000; 74051F87; 4; 3; 200; 210; 4; 417
133; 338.5968; 8; (338.!5968; 10; 010000001001010011100010001101011111010000000100; 04492E534F40; 6; 5; 535; 548; 5; 1093
134; 30132.07; 8; *3013@2.07; 10; 01010000110000101101001001110111111010101110110110000000; 052C2D77AEDE08; 7; 5; 500; 524; 6; 1035
135; 917201.129599; 13; &9172_01.1^)29599; 17; 011100110101001000110011101011101000010110001011010010010101000110101101011111010001010100000000; 372533EA58B89415DAD75100; 12; 10; 736; 775; 9; 1530
136; 319216; 6; )3^19216; 8; 0111110110011110001010001001011010011101; D7E98269D9; 5; 4; 277; 285; 4; 570
137; 64880908.73; 11; %6488#090_8.73; 14; 1001100100001000011101011100110010101111001000001010100010001110; 998057CCFA028AE8; 8; 8; 849; 865; 8; 1730
138; 89.667159; 9; @89.~6671(59; 12; 0000000001100100001010010110010110101110101011010101111100000000; 00469256EADAF500; 8; 6; 568; 596; 6; 1176
139; 33166579.78; 11; ^!331665!79.78; 14; 100010111111011101011010011101101101111001000001001100100001110110000000; B87FA567ED1423D108; 9; 8; 536; 560; 7; 1111
140; 16771524.7; 10; ^1(677152#4.7; 13; 01111000101010111010001001011110011010100000000110101010010010000000000000000000; 87BA2AE5A610AA840000; 10; 7; 675; 710; 7; 1399
141; 81843.4522; 10; $=81843!.4522; 13; 101001001101101110100101100010001010010110001111110100001111110110110000; 4ABD5A885AF80DDF0B; 9; 7; 560; 582; 7; 1156
142; 96863.90635; 11; )(968~63.90635; 14; 110111111010110010101100011010011000111000110001000010110011011110000000; FDCACA96E813B07308; 9; 7; 672; 704; 8; 1391
143; 9.379653; 8; (9.37965#3; 10; 111101110100010110100101100110110111101000111000; 7F545AB9A783; 6; 5; 400; 410; 5; 820
144; 6.9; 3; @6.9; 4; 110011111000110001000000; FCC804; 3; 2; 204; 214; 2; 422
145; 80995.580; 9; ~80995#).580; 12; 0010111100110010101010001011100100001001101110010111101011000000; F2238A9B909BA70C; 8; 6; 393; 419; 7; 825
146; 94622598.878; 12; #946&22598.%)878; 16; 00000001010011101011110001110001000111110001011100001010011010100111011000000000; 10E4CB17F171A0A66700; 10; 10; 846; 879; 8; 1743
147; 5; 1; !5; 2; 1001110001000000; C904; 2; 2; 25; 32; 2; 61
148; 8794.3; 6; (8794.&3; 8; 0001000000010110010110101010001000000000; 0161A52A00; 5; 4; 424; 437; 5; 870
149; 524.7; 5; =524.7; 6; 01010011100001000110010000101000; 35484682; 4; 2; 261; 271; 3; 537
150; 758016; 6; ^7580^16; 8; 1011111110001010111110010001110100111010; FBA89FD1A3; 5; 5; 353; 363; 4; 725
151; 967.3; 5; ~967.3; 6; 01110110010110101110001011010000; 67A52E0D; 4; 3; 231; 250; 4; 488
152; 6.211; 5; )6.211; 6; 01101001001101010011010010000110; 96534368; 4; 3; 249; 257; 3; 512
153; 4847.8; 6; =484(7.8; 8; 1010110101000101100011100100101100101100; DA54E8B4C2; 5; 5; 349; 359; 4; 717
154; 746554.3444; 11; )746554=.3$444; 14; 011101011001001110101010010111111101010001011010101110111000111011100000; 5739AAF54DA5BBE80E; 9; 7; 837; 864; 8; 1716
155; 282.18; 6; #2(82.18; 8; 1000101001100010000001111110101010000111; A82670AE78; 5; 4; 370; 378; 5; 757
156; 5890866.80; 10; %$5890866.8$0; 13; 101101001000101011110010001110101111111000101011110000000001001100000000; 4BA82FA3EFB20C3100; 9; 7; 600; 626; 7; 1240
157; 7645.5; 6; %7645!.5; 8; 1101000011000011101101000111101101110010; 0D3C4BB727; 5; 4; 359; 370; 5; 738
158; 3374.74311; 10; )3~37#4.74311; 13; 011111011010111011101011001100101101010100111111010010001000000010100000; D7EABE235DF384080A; 9; 7; 429; 446; 7; 889
159; 755.3922; 8; &755.)3922; 10; 010011011001010010100111010001110111011110110100; D4497A74774B; 6; 5; 557; 578; 5; 1145
160; 7.731; 5; !7.731; 6; 01000001001000010110001000000000; 14122600; 4; 3; 178; 189; 4; 374
161; 838191.74; 9; %%83819*1.74; 12; 1100010100111100100010110111010011010001101011010111111010000000; 5CC3B8471DDAE708; 8; 7; 477; 500; 6; 990
162; 37047.07439; 11; ^3704&7.0743*9; 14; 011011000000101001010101101000000010001110110110011000001000100001000000; C6A0550A326B068804; 9; 7; 582; 611; 8; 1208
163; 37.0; 4; $37.0; 5; 00011001000000100010011000000000; 91206200; 4; 2; 262; 275; 3; 542
164; 646471281.0557; 14; $646471281.)0$55=7; 18; 1101011110100111010011100111010110011010110111010011101000101100010101001011010000100000; 7D7AE457A9DDA3C2454B02; 11; 10; 1044; 1075; 9; 2138
165; 7.404747; 8; $7.40$4747; 10; 011101010111000111110101100010011100110011100110; 57175F98CC6E; 6; 5; 552; 564; 5; 1126
166; 2; 1; !2; 2; 1001011001000000; 6904; 2; 2; 27; 34; 2; 65
167; 721.88620; 9; %=721.#88620; 12; 0011101010111100100111010110110001100000101111110111111011000000; A3CBD9C606FBE70C; 8; 6; 541; 567; 6; 1120
168; 50351.29309; 11; %5035#1~.29309; 14; 010110100101111101000010011101010100110101001100100111100110010100000000; A5F52457D4C4E95600; 9; 8; 738; 769; 7; 1522
169; 2.52541; 7; ~2.5254=1; 9; 000101101011011100100010001111111101000101000000; 617B22F31D04; 6; 4; 454; 467; 5; 930
170; 5997429; 7; %5997=429; 9; 01011010001111000010101111001000011110100010101000000000; A5C3B28CA7A200; 7; 5; 353; 377; 5; 740
171; 57996.3; 7; !57*996.3; 9; 10011100010111100110111100001100010101101101100010000000; C9E5F6C0658D08; 7; 5; 269; 294; 5; 573
172; 230.50; 6; %230).50; 8; 1011101101001001011000100010011000110000; BB94266203; 5; 4; 443; 454; 4; 905
173; 97315810.155464; 15; ~9^73158*10.#15546!4; 20; 011101100101111111010001000000010101111001010000101010101100000111000101001010100111010011110100; 67F51D10E505AA1C5CA2474F; 12; 13; 850; 873; 10; 1746
174; 893.978493; 10; )89@3#.978493; 13; 011010100101100100111111110000110001111011000010100000101101100010000000; A695F33CE12C288D08; 9; 7; 658; 689; 6; 1360
175; 8.1; 3; $8.1; 4; 010010001001011010000000; 846908; 3; 3; 165; 175; 3; 346
176; 10139986.11835; 14; (10139=986.=118~35; 18; 0100100001100001011001110111000000110010111111011000010100100001110110001100011011110000; 8416760723DF58128D6C0F; 11; 11; 901; 931; 9; 1852
177; 8013.55270; 10; !8013.552&7#0; 13; 000101011100001011010101100100101001011111111011011001100101001100000000; 512C5D2979BF663500; 9; 7; 655; 682; 7; 1351
178; 51335.684; 9; *#51335.6%84; 12; 00100010000011111110111010110010010010100111011001011000; 22F0EE2BA46785; 7; 6; 600; 611; 6; 1223
179; 75642.62; 8; $7564%2.62; 10; 01110101010101001110101110011101011111101010111110011000; 5745BED9E7FA89; 7; 5; 476; 492; 5; 978
180; 93773.267013; 12; )9377_3.%2*67013; 16; 10100010000111111000101110011001010110010101110110110010100001010010110100100000; 2AF1B89995D52B58D202; 10; 9; 678; 711; 9; 1407
181; 81625776.2; 10; %8~16(25776.2; 13; 100101101001110101111000001110001000110001001011000101011110110110000000; 69D98783C8B451DE08; 9; 7; 671; 700; 7; 1385
182; 9.754; 5; !9.754; 6; 10000001001010000101010100110000; 18825503; 4; 2; 219; 229; 4; 454
